first_name,last_name,email,phone,gender,age,salary_per_day_usd,is_married,salary_in_THB
David,Davis,daviddavis980@slingacademy.com,067.435.8553x692,male,59,970.96,False,33614.6352
Jacqueline,Wang,jacquelinewang322@slingacademy.com,691-557-6502,female,22,962.47,False,33320.7114
Tiffany,Carter,tiffanycarter997@slingacademy.com,+1-882-869-0402,female,26,967.96,False,33510.7752
Francis,Velez,francisvelez579@slingacademy.com,036-214-6097,male,25,994.92,True,34444.130399999995
Anthony,Chavez,anthonychavez937@slingacademy.com,545.116.5622,male,36,995.44,False,34462.1328
John,Huber,johnhuber951@slingacademy.com,705-854-2863x2616,male,51,976.2,True,33796.044
Jade,Wall,jadewall660@slingacademy.com,(888)212-1295x2544,female,51,997.48,False,34532.7576
Jillian,Massey,jillianmassey506@slingacademy.com,(897)355-8937x040,female,76,959.77,False,33227.2374
Brian,Olson,brianolson853@slingacademy.com,(767)436-0931x540,male,38,964.46,True,33389.6052
Veronica,Stein,veronicastein869@slingacademy.com,108.653.8091x602,female,18,969.71,False,33571.360199999996
Jeffrey,Sullivan,jeffreysullivan581@slingacademy.com,671.326.4890,male,61,994.93,False,34444.476599999995
Amy,Harris,amyharris260@slingacademy.com,001-107-220-0637,female,25,975.89,False,33785.311799999996
Timothy,Mullins,timothymullins109@slingacademy.com,572.103.9107x933,male,51,979.46,False,33908.9052
Mary,Zamora,maryzamora706@slingacademy.com,+1-863-349-2563,female,62,968.64,True,33534.3168
Katherine,Ferguson,katherineferguson577@slingacademy.com,410.912.9005x721,female,41,956.0,False,33096.72
Nicole,Mcintyre,nicolemcintyre424@slingacademy.com,(395)369-5742,female,18,971.81,False,33644.06219999999
Thomas,Mclaughlin,thomasmclaughlin610@slingacademy.com,828.395.9794x21404,male,29,968.75,False,33538.125
Zachary,Davis,zacharydavis304@slingacademy.com,154.021.7155x5483,male,25,968.83,False,33540.8946
Brenda,Hines,brendahines266@slingacademy.com,001-581-945-5641,female,44,976.9,True,33820.278
Margaret,Nelson,margaretnelson922@slingacademy.com,(052)704-5782,female,62,957.71,False,33155.9202
Tracy,Wolf,tracywolf621@slingacademy.com,218.569.8698x00388,male,35,983.4,False,34045.308
Denise,Cook,denisecook866@slingacademy.com,202-494-3717,female,31,966.34,False,33454.6908
Kyle,Vincent,kylevincent794@slingacademy.com,769-776-4959x968,male,63,979.84,False,33922.0608
Jessica,Collins,jessicacollins591@slingacademy.com,001-892-520-8947x048,female,80,978.45,False,33873.939
Denise,Thomas,denisethomas504@slingacademy.com,001-620-546-2075x026,female,29,966.36,False,33455.3832
Gerald,Rush,geraldrush297@slingacademy.com,+1-105-083-8337x092,male,56,973.65,True,33707.763
Sarah,Cruz,sarahcruz870@slingacademy.com,323-912-7257x0310,female,76,990.88,True,34304.2656
Amber,Ramirez,amberramirez415@slingacademy.com,(674)013-3817x46967,female,65,964.41,False,33387.8742
Jessica,Moore,jessicamoore202@slingacademy.com,(128)935-6357x6738,female,44,997.47,False,34532.4114
Shawn,Neal,shawnneal311@slingacademy.com,+1-756-736-8219x927,male,65,992.24,True,34351.3488
Nathan,Pena,nathanpena166@slingacademy.com,595-770-5523x301,male,46,954.2,False,33034.404
Rebecca,Kline,rebeccakline463@slingacademy.com,390.914.2934x69561,female,22,982.12,False,34000.994399999996
John,Frazier,johnfrazier461@slingacademy.com,955.201.1358x2911,male,56,984.99,True,34100.3538
Brian,Wilkinson,brianwilkinson935@slingacademy.com,+1-595-970-2938,male,29,972.26,False,33659.6412
Jacqueline,Smith,jacquelinesmith301@slingacademy.com,6811356812,female,67,960.17,False,33241.085399999996
Brandon,Rodriguez,brandonrodriguez659@slingacademy.com,+1-836-512-7622x95840,male,58,996.53,False,34499.868599999994
Casey,Grimes,caseygrimes136@slingacademy.com,001-111-244-1007x03600,female,24,956.16,True,33102.25919999999
Lauren,Owen,laurenowen169@slingacademy.com,(309)615-5407,female,69,984.2,False,34073.004
Danny,Nixon,dannynixon584@slingacademy.com,001-461-875-8949,male,48,985.05,False,34102.431
Regina,Morales,reginamorales559@slingacademy.com,001-651-823-2042x35948,female,29,975.2,False,33761.424
James,Johnson,jamesjohnson660@slingacademy.com,001-295-152-2880x529,male,79,981.14,False,33967.0668
Kelly,Holmes,kellyholmes473@slingacademy.com,7080641202,male,61,996.68,False,34505.06159999999
Katherine,Phillips,katherinephillips422@slingacademy.com,806-464-9090x526,female,46,970.42,False,33595.9404
Alex,Reyes,alexreyes499@slingacademy.com,+1-423-003-7004x11368,male,19,965.15,True,33413.492999999995
Bryan,Huang,bryanhuang127@slingacademy.com,001-619-479-3283x3620,male,71,961.48,True,33286.4376
Michele,Patel,michelepatel130@slingacademy.com,821.762.0850,female,37,972.62,False,33672.1044
Rachael,Phillips,rachaelphillips205@slingacademy.com,887.771.5936x9490,female,28,997.89,True,34546.951799999995
Troy,Carr,troycarr793@slingacademy.com,001-265-462-2624,male,56,986.12,True,34139.4744
Victoria,Bray,victoriabray343@slingacademy.com,739-217-8339x37338,female,57,963.18,False,33345.2916
Elizabeth,Lynch,elizabethlynch675@slingacademy.com,+1-323-148-7315,female,18,987.33,True,34181.3646
Alec,Brock,alecbrock104@slingacademy.com,(715)835-6759x24190,male,22,953.98,False,33026.787599999996
Andrea,Morris,andreamorris243@slingacademy.com,773-412-5539x448,female,78,986.45,False,34150.899
David,Watson,davidwatson346@slingacademy.com,313.741.3416,male,53,964.19,True,33380.2578
Maxwell,Anderson,maxwellanderson963@slingacademy.com,611.384.9685x8554,male,71,961.26,True,33278.8212
Lydia,Waller,lydiawaller541@slingacademy.com,001-468-675-8174,female,39,999.15,False,34590.573
Julie,Harris,julieharris727@slingacademy.com,0506363397,female,59,953.31,False,33003.5922
